Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1 (city),Location 1,Location 1 (state),Location 2
UNITED STATES,2014,1,7,,30,,56,,7,,15,,9,,52,,73,,9,,40,,1,,32,,51,,1,,26,,,,,
NEW ENGLAND,2014,1,1,,1,,5,,1,,2,,,-,1,,4,,,-,,-,,-,3,,7,,,-,2,,,,,
MID. ATLANTIC,2014,1,,-,4,,12,,,-,,-,1,,3,,10,,1,,6,,,-,4,,11,,,-,6,,,,,
E.N. CENTRAL,2014,1,1,,5,,12,,1,,3,,2,,9,,15,,2,,7,,,-,6,,21,,,-,2,,,,,
W.N. CENTRAL,2014,1,1,,1,,6,,1,,,-,,-,2,,5,,,-,1,,,-,0,,5,,,-,,-,,,,
S. ATLANTIC,2014,1,,-,5,,15,,,-,1,,6,,16,,25,,6,,11,,,-,6,,21,,,-,4,,,,,
E.S. CENTRAL,2014,1,1,,1,,4,,1,,3,,,-,12,,17,,,-,10,,1,,6,,14,,1,,6,,,,,
W.S. CENTRAL,2014,1,1,,2,,6,,1,,,-,,-,5,,10,,,-,2,,,-,2,,7,,,-,1,,,,,
MOUNTAIN,2014,1,,-,2,,16,,,-,2,,,-,1,,4,,,-,2,,,-,1,,5,,,-,1,,,,,
PACIFIC,2014,1,2,,6,,18,,2,,4,,,-,3,,6,,,-,1,,,-,3,,7,,,-,4,,,,,
WYOMING,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-108.10982744299969 43.23554147100049),WYOMING,
PENNSYLVANIA,2014,1,,-,1,,4,,,-,,-,1,,1,,4,,1,,,-,,-,1,,6,,,-,2,,,POINT (-77.86069775999965 40.79373106100047),PENNSYLVANIA,
WISCONSIN,2014,1,,-,1,,3,,,-,,-,,-,0,,2,,,-,,-,,-,1,,3,,,-,,-,,POINT (-89.81636715299965 44.3931903350005),WISCONSIN,
NEW YORK,2014,1,,-,1,,5,,,-,,-,,-,1,,3,,,-,,-,,-,2,,5,,,-,,-,,POINT (-75.54396639699968 42.82700023900048),NEW YORK,
WEST VIRGINIA,2014,1,,-,0,,1,,,-,,-,,-,3,,8,,,-,3,,,-,1,,5,,,-,2,,,POINT (-80.71263935099967 38.665511497000466),WEST VIRGINIA,
WASHINGTON,2014,1,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,1,,4,,,-,,-,,POINT (-120.47002746299972 47.522287905000496),WASHINGTON,
MICHIGAN,2014,1,,-,1,,7,,,-,1,,,-,1,,5,,,-,1,,,-,1,,11,,,-,1,,,POINT (-84.71438724399968 44.66131575600048),MICHIGAN,
MONTANA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,POINT (-109.42441687999968 47.066526051000494),MONTANA,
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-120.52155783099971 34.91997872200045),GUAM,
MISSISSIPPI,2014,1,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,,,0,,0,,,,,,,POINT (-89.53802764499966 32.74551123200047),MISSISSIPPI,
VERMONT,2014,1,1,,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-72.51763944499965 43.62538292400046),VERMONT,
MASSACHUSETTS,2014,1,,-,0,,3,,,-,2,,,-,1,,3,,,-,,-,,-,3,,7,,,-,2,,,POINT (-72.08268985899963 42.27687306500047),MASSACHUSETTS,
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-94.79419697699967 46.35564867700049),MINNESOTA,
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.37352811899967 44.35313342000046),SOUTH DAKOTA,
